test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.6,none,-,,DT,0,1,4134,6202,0.9795,0.8267,0.1,0.0
0.6,none,-,,RF,0,1,4134,6202,0.9858,0.8522,0.7,0.0
0.6,none,-,,NB,0,1,4134,6202,0.8186,0.6618,0.0,0.0
0.6,none,-,,KNN,0,1,4134,6202,0.9584,0.7306,0.1,0.0
0.6,none,-,,SVM,0,1,4134,6202,0.9291,0.4592,0.9,0.0
0.6,linear,-,,LR,5,1,4134,6202,0.886,0.2901,0.3,0.5
0.6,linear,-,,SGD,5,1,4134,6202,0.8892,0.2949,0.2,0.5
0.6,linear,-,,DT,5,1,4134,6202,0.9602,0.7488,0.0,0.5
0.6,linear,-,,RF,5,1,4134,6202,0.9732,0.7967,0.6,0.5
0.6,linear,-,,NB,5,1,4134,6202,0.6933,0.3522,0.0,0.5
0.6,linear,-,,KNN,5,1,4134,6202,0.956,0.7123,0.0,0.5
0.6,linear,-,,SVM,5,1,4134,6202,0.8916,0.3015,0.6,0.5
0.6,poly,default,0.014492753623188406,LR,5,1,4134,6202,0.8094,0.1549,0.3,0.6
0.6,poly,default,0.014492753623188406,SGD,5,1,4134,6202,0.8017,0.1499,1.0,0.6
0.6,poly,default,0.014492753623188406,DT,5,1,4134,6202,0.9426,0.632,0.0,0.6
0.6,poly,default,0.014492753623188406,RF,5,1,4134,6202,0.9637,0.689,0.6,0.6
0.6,poly,default,0.014492753623188406,NB,5,1,4134,6202,0.1322,0.2327,0.0,0.6
0.6,poly,default,0.014492753623188406,KNN,5,1,4134,6202,0.9579,0.6715,0.0,0.6
0.6,poly,default,0.014492753623188406,SVM,5,1,4134,6202,0.8083,0.1202,0.6,0.6
0.6,rbf,default,0.014492753623188406,LR,5,1,4134,6202,0.8663,0.1458,0.0,1.0
0.6,rbf,default,0.014492753623188406,SGD,5,1,4134,6202,0.8563,0.1354,0.0,1.0
0.6,rbf,default,0.014492753623188406,DT,5,1,4134,6202,0.9423,0.625,0.0,1.0
0.6,rbf,default,0.014492753623188406,RF,5,1,4134,6202,0.9571,0.6993,0.7,1.0
0.6,rbf,default,0.014492753623188406,NB,5,1,4134,6202,0.8051,0.2995,0.0,1.0
0.6,rbf,default,0.014492753623188406,KNN,5,1,4134,6202,0.9421,0.6074,0.0,1.0
0.6,rbf,default,0.014492753623188406,SVM,5,1,4134,6202,0.9058,0.2192,0.6,1.0
0.6,sigmoid,default,0.014492753623188406,LR,5,1,4134,6202,0.8797,0.165,0.1,0.6
0.6,sigmoid,default,0.014492753623188406,SGD,5,1,4134,6202,0.8823,0.226,0.0,0.6
0.6,sigmoid,default,0.014492753623188406,DT,5,1,4134,6202,0.9486,0.6871,0.0,0.6
0.6,sigmoid,default,0.014492753623188406,RF,5,1,4134,6202,0.9611,0.7571,0.6,0.6
0.6,sigmoid,default,0.014492753623188406,NB,5,1,4134,6202,0.8726,0.4058,0.0,0.6
0.6,sigmoid,default,0.014492753623188406,KNN,5,1,4134,6202,0.9531,0.7297,0.0,0.6
0.6,sigmoid,default,0.014492753623188406,SVM,5,1,4134,6202,0.9157,0.373,0.5,0.6
0.6,cosine,-,,LR,5,1,4134,6202,0.8849,0.1848,0.1,0.5
0.6,cosine,-,,SGD,5,1,4134,6202,0.8728,0.1557,0.1,0.5
0.6,cosine,-,,DT,5,1,4134,6202,0.9505,0.7232,0.1,0.5
0.6,cosine,-,,RF,5,1,4134,6202,0.9603,0.7485,0.6,0.5
0.6,cosine,-,,NB,5,1,4134,6202,0.842,0.4383,0.0,0.5
0.6,cosine,-,,KNN,5,1,4134,6202,0.9502,0.7038,0.0,0.5
0.6,cosine,-,,SVM,5,1,4134,6202,0.9194,0.2339,0.5,0.5
0.6,linear,-,,LR,10,1,4134,6202,0.9076,0.3863,0.3,0.5
0.6,linear,-,,SGD,10,1,4134,6202,0.8916,0.3905,0.2,0.5
0.6,linear,-,,DT,10,1,4134,6202,0.9636,0.7561,0.1,0.5
0.6,linear,-,,RF,10,1,4134,6202,0.9771,0.806,0.7,0.5
0.6,linear,-,,NB,10,1,4134,6202,0.6674,0.4048,0.0,0.5
0.6,linear,-,,KNN,10,1,4134,6202,0.959,0.717,0.1,0.5
0.6,linear,-,,SVM,10,1,4134,6202,0.8984,0.327,0.6,0.5
0.6,poly,default,0.014492753623188406,LR,10,1,4134,6202,0.8091,0.1863,0.6,0.6
0.6,poly,default,0.014492753623188406,SGD,10,1,4134,6202,0.8062,0.1559,1.1,0.6
0.6,poly,default,0.014492753623188406,DT,10,1,4134,6202,0.9489,0.704,0.1,0.6
0.6,poly,default,0.014492753623188406,RF,10,1,4134,6202,0.9703,0.7324,0.7,0.6
0.6,poly,default,0.014492753623188406,NB,10,1,4134,6202,0.1219,0.2425,0.0,0.6
0.6,poly,default,0.014492753623188406,KNN,10,1,4134,6202,0.955,0.686,0.1,0.6
0.6,poly,default,0.014492753623188406,SVM,10,1,4134,6202,0.8083,0.1202,0.8,0.6
0.6,rbf,default,0.014492753623188406,LR,10,1,4134,6202,0.8807,0.1593,0.1,1.0
0.6,rbf,default,0.014492753623188406,SGD,10,1,4134,6202,0.8812,0.16,0.0,1.0
0.6,rbf,default,0.014492753623188406,DT,10,1,4134,6202,0.9445,0.6528,0.1,1.0
0.6,rbf,default,0.014492753623188406,RF,10,1,4134,6202,0.9586,0.6946,0.8,1.0
0.6,rbf,default,0.014492753623188406,NB,10,1,4134,6202,0.7673,0.3307,0.0,1.0
0.6,rbf,default,0.014492753623188406,KNN,10,1,4134,6202,0.9432,0.6381,0.0,1.0
0.6,rbf,default,0.014492753623188406,SVM,10,1,4134,6202,0.9095,0.2234,0.6,1.0
0.6,sigmoid,default,0.014492753623188406,LR,10,1,4134,6202,0.8902,0.1907,0.1,0.6
0.6,sigmoid,default,0.014492753623188406,SGD,10,1,4134,6202,0.8844,0.2089,0.1,0.6
0.6,sigmoid,default,0.014492753623188406,DT,10,1,4134,6202,0.9624,0.745,0.1,0.6
0.6,sigmoid,default,0.014492753623188406,RF,10,1,4134,6202,0.9731,0.7781,0.8,0.6
